content,data
"#신랑자랑♡.결혼 초에는, 신랑 외동 - 나 딸넷중에 막내.나는 늘 같이 하는걸 좋아해서 누구든 의지하고,같이 결정하고, 같이 가고, 같이 먹는걸 좋아했다.반면에  신랑은 모든 함께보다는 좀더 신속하고 편하게혼자 결정하고 나아가고 하는걸 좋아했다..결혼 12년차가 지나고(연애 1년 추가 플러스~~)이제는 나와 함께 해주고, 쇼핑도 같이 가서 골라주고,맛있는 곳도 아이들 챙겨서 함께 가준다♡.최근에 잠바를 살까 고민 했는데.. 애들이 커지니까,왠만해서 나랑 비슷한(사실 내가 살을 더빼면 좋겠지만ㅋ)싸이즈를 공용으로 입게 되는 날이 도래하므로,같이 입을 점퍼를 고르다가, 신랑이 나를 위해서만 고르라고..'나를 위해서 입고, 먹고, 들고, 쓰고 하라고~'그래서 잠바 말고~ 가방을 선물해줬다는 훈훈한 후일담이ㅋㅋ.점점 완성되어가는 것 같다.한 가족의 탄생이~ 아이 넷이 되기까지, 시간이 오래 걸렸지만, 원석이 깎이고 깎여 보석이 되듯이!우리 가정도 보석이 되어가는 거 같다.서로가 서로에게 소중한 존재가 되어가는 우리~애들 앞에선 한없이 자상한 신랑♡막내 앞에선 더더 한없이 자상해지는 신랑♡.마트 데이트도 끝~~~!!.#일상 #데일리 #공감 #일상기록 #사남매아빠♡#훈훈한내사랑 #영원한내편♡ #서로를위해존재함 #아빠와딸#고마워요 #감사해요 #행복해요 #사랑해요",2021-12-09
#단추마스 #🎄 #🎅세상에 얼굴도 예쁘고 맘씨도 착한금이야옥이야 이모의 선물....♥︎..#진짜 #넘 #감동감동 #모두들 #메리크리스마스#따뜻한 #크리스마스 #행복해요 #♥︎.#댕팔 #맞팔 #댕댕이 #댕그램 #멍그램 #🐶,2021-12-09
친구랑 놀러가서 엄마 나 이뽀⁉️⁉️⁉️요렇게 #톡 으로 😛😛😛😛😛#딸랑구 #딸스타그램#연남동카페#연남동핫플 #친구랑놀기 #다컸네#셀카#중3... #daily #존맛탱 #좋아요반사❤️ #좋아요💕 #food #음식 #fff #행복해요 #맛있고 #특별한선물 #먹팔 #먹팔스타그램 #먹팔로우 #딸스타그램 #아들스타그램 #중3공부스타그램 #파스타 #학생스타그램,2021-12-09
오늘 감사한 선물을 천사두분께 받았어요🥰🥰뜻밖의 선물에 감동적이고 행복한 하루였어요~이래서 나날이 살이 찝니다😅😅...#인복많은여자#먹을복많은여자 #언제나 #감사 #행복 #잔기지떡 #쿠키 #선물 #주는것보다받는게더많은 #민망하지만 #감사해요 #행복해요 #내인생 #다이어트없음,2021-12-09
#MerryChristmas ..크리스마스 시즌이라 너무 행복한 꼬맹이.매일 쇼핑몰 가자고 난리난리.핑계김에 여기저기 쇼핑몰 도장깨기 중😆😆😆..#크리스마스 #행복해요 #신나요 #매일선물기도중#러블리소피아일기 #여섯살 #쿠알라룸푸르 #일상,2021-12-09
항상 정성을 다하겠습니다🤣#반삭,2021-12-09
본래 감리씨란 하루만에 끝나는법이없지….😂#몸살나기일보직전 #쌍화탕먹고힘내기 #요즘일상 #1일1감리#예술은노가다 #행복해요 #오오티디 #핫핑크 #부츠 #코디,2021-12-09
우리시아 웃음보고 힘내세요 🌸미쵸브러 진짜 사랑해 우리딸 요즘 진짜 우리시아 너무 컷응 조금만 천천히 커줘 시아야 👧🏻...#시아는요 #웃음을주는사람 #행복해요 #시아엄마라서#우아남매네👦🏻👧🏻 #데일리 #일상 #얼스타그램 #일상스타그램 #셀스타그램 #셀카 #셀피 #오오티디 #맞팔 #팔로우 #소통 #인친 #좋아요 #instagram #insradaily #selstagram #selfie #selca #ootd #f4f #fff #daily #dailylook,2021-12-09
종강이다아ㅏ #종강 #도비는자유에요 #행복해요,2021-12-09
석화찜 노래 불렀는데 시장 갔더니 있어서왕창 사버렸지 1kg 5000원 그래서 4kg구매 !!!...#일상스타그램 #음식스타그램 #석화찜 #맛있게냠냠 #행복해요 #선팔 #맞팔 #선팔하면맞팔 #좋아요 #좋아요반사 #좋아요꾹#팔로우​ #팔로우미 #팔로워미 #좋아요늘리기 #팔로우늘리기#선팔환영 #맞팔환영 #인친환영 #팔로우환영 #맞팔100 #소통해요,2021-12-09
30대 주부🥰화장실이 시원해진 이후로짜증도 많이 없어졌다는 고객님남편이 먹고싶다고 하는데 사먹으라고하여상담받고 직접 내돈내산 하셨습니다❤,2021-12-09
각자의 비밀상자를 마련해주었더니 서랍이 알아서 정리가 들어갑니다~😆 비밀상자가 생겼다고 좋아라합니다🤭근데 내용물이 중요한거  맞는거지~?😁😁어떻게 서로 자기것인줄 다 알고 ㅎㅎ🌸🌺#비밀상자 #내꺼니꺼 #정리함 #이름표 #육아맘 #행복해요 #귀여운것들 #atomy #형제들,2021-12-09
저희집에도 크리스마스 왔어요🌲🌲🎅🤶🧑‍🎄☃️❄귀차니즘 때문에 좀 늦게 왔어요이번에는 미니미니~#메리크리스마스 #미니트리 #트리 #화병트리 #식탁위에 #이쁨이쁨 #쳐다만봐도 #행복해요 #아직도소녀감성 #구석구석 #메이듀플라워 #모셔옴 #선물감사 #센스쟁이 #사진이잘나옴 #아쉽네,2021-12-09
안녕하세요행복한하루 되셨나요?즐거운 저녁시간 되시구요#에슬롯미 많이 많이 사랑해 주세요#ethlotme #마이닝 #행복해요,2021-12-09
##이렇게 맛있는 슈톨렌을선물받다니.. 너무 행복해요❤️@_kimna_  감사해요! 잘먹을게요~@common__bakery 에서 나도 구매해야지!!!^^*#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #크리스마스빵 #슈톨렌 #크리스마스빵슈톨렌 #빵맛집 #택배받은빵 #나나감사해용 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
울 남편 저녁상♡ ㅋㅋㅋㅋㅋ 이게 신혼의 재미?? ㅋㅋㅋ 고마워 잘 먹을게♡♡ 자기 덕에 행복하다♡#행복 #행복해 #행복한 #행복스타그램 #행복그램 #행복하자 #행복이 #행복행복 #행복하다 #행복해라 #행복해요 #행복하세요 #행복하다그램 #행복하자아프지말고 #기쁨 #기쁨이 #넘나좋은것 #즐거움 #기분좋아 #좋은날 #happy #happyhappy #happyday #happytimes #veryhappy,2021-12-09
🍛🍜🐥🐈..#먹다 #음식 #굶주린 #저녁 #인도네시아 #친구 #행복해요,2021-12-09
매주 수요일 #수서브랜치#팀미팅이쁜곳에서 미팅하니까 진짜 집중도 잘되구능률도 올라가고 너무너무 좋더라구요🤍웬만한 카페 저리가라에여?!줌으로만 보다가 이렇게 얼굴보고 미팅하니너무너무 좋았어요 😆☺️#골든뷰티인셀덤 이라서 #행복해요우리모두 #꽃길걸어요🌸,2021-12-09
"##연말분위기 느끼러 #크리스마스박물관_바이나흐튼 에 갔으면 크리스마스 맥주와와인, 오리지널 독일뱅쇼 는 꼭 사야지!?한국에서 맛보던 뱅쇼랑은 다르다고 그래서 너무너무 궁금하다아ㅏㅏㅏ크리스마스에 까야지 ^^* 크리스마스맥주 진심 존맛... 내스탈.. #제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주연말맛집 #크리스마스박물관 #크리스마스맥주 #크리스마스와인 #오리지널독일뱅쇼 #뱅쇼 #뱅쇼오리지널 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사",2021-12-09
👰🏻🤵🏻🏡💕#wedding #행복해요 #앞으로더잘해요🥰🏷#쮸랑_가기,2021-12-09
##와인 왕창지르게 만드는 #슈퍼보틀제주너므너므너므 조아ㅏㅏㅏ이래서 매일 술먹고 살이 쪘지 ...#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주맛집 #제주와인맛집 #제주네츄럴와인샵 #superbottle #슈퍼보틀제주 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
"##제주 연동 네츄럴와인샵 #슈퍼보틀내가 좋아라 하는 예쁘고 맛있는와인, 수제맥주 , 수제막걸리가 있는 곳!!너무 좋아서 사고 또 샀더니..20마넌이 훌쩍 금방 넘네.........그래도 한정판 네츄럴 와인도 사고,(네츄럴와인 자체가 많이 만들어지지 않지만) 먹어보고 싶은 술들 골고루 사서기분이가 너무너무 조으당!!!!흥흥흥 꿀막걸리 랑 가을가득 에일맥주는 마지막 남은 더이상 안나오는거 내가 득템!!!^^* 흐흐흐흐다녀온지 일주일은 됬는데 이제야 올리는 사진...#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주와인맛집 #네츄럴와인샵 #네츄럴와인맛집 #제주네츄럴와인 #한정판와인 #와인엄청질렀다 #술술술조아 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사",2021-12-09
난 너를 응원해 ♥️ 감사한날나침반 바늘은 정확한 방향을 가리키기전에 항상 흔들린다인생도 마찬가지다그러므로 지금 흔들리고 있는 것을걱정할 필요 없다 언젠가는 바른 방향을 가리키게 될 것이기 때문이다.<달팽ㅇㅣ안의달 >#감사감사 #행복해요 #고맙습니다그램 #땡큐땡큐 #감사스타그램 #행복하자 #넘나좋은것 #한영인스타,2021-12-09
벌써 2021년이 끝나가네요..ㅠㅅㅜ오랜만에 신엄마와 도당할아버지께 다녀왔어요~인사 드리고 신도님들 초도 키고 왓어요.벌써 신령님 모신지도 6개월이 되었네요.많은 일이 있었던 21년도......행복하고 좋았던 기억이 더 많았던 21년도네요.남은 21년도도 마무리 잘 해야겟다는 생각이...더 열심히 기도하고 더 열심히 하겠습니다!!#할머니 #할아버지 #감사합니다♡ #열심히하겟습니다!!#엄마 #감사합니다♡ #엄마딸이라 #감사하고 #행복해요♡..........#청주점집 #대전점집 #일월당 #별상도령 #애동제자 #청주우암산 #도당할아버지 #도당기도 #우암산도당할아버지 #우암산 #우암산기도 #2021년 #신축년 #임인년 #신제자 #신점 #영점 #기도 #신도초 #초기도 #도당인사,2021-12-09
#갤럭시z플립3 #그린 #드뎌샀다 #오늘개통 #신도림테크노마트휴대폰 #플립3 #행복해요,2021-12-09
사람없고 날씨좋고~,2021-11-29
공원에서📸,2021-12-09
#가드니놀이터#강원도에살고싶은여자 #첨이슬공주 2021.12.9 THU아침에 숙취가 덜깬채골프레슨 받고 🤣🤣🤣오늘의 #아점🤣🤣🤣🤣 해장 쥑이네~~~#생대구탕 집으로 유명한의정부의 #서울식당 이다.오랜 역사 전통이 있다는...👍👍시원 칼칼함이 온몸에 퍼지면서다시 알콜이 도는듯...ㅎㅎㅎ갑자기 늘어지고 잠이 오는듯 함 ㅋㅋ해장했으니 열심히 일하러가세~#아침식사#먹방#음식스타그램#유지어터 #먹스타#먹방스타그램#먹스타맞팔#협찬문의#먹스타그램#먹방그램#좋아요#다이어트#선팔하면맞팔#술스타그램#오늘뭐먹지#맛집#데일리그램#소통해요#행복해요#일상#여행스타그램#koreanfood,2021-12-09
ㅋㅋㅋㅋㅋ......#영화 #감동 #부부 #결혼#현실부부 #잉꼬부부 #결혼전 #남편 #아내 #결혼후 #행복 #행복해요 #남자의로망 #여자의로망 #훈남 #훈녀 #예쁜부부 #시집 #장가 #예비신부 #연하남친 #연하여친 #매력덩어리 #연상연하 #설레여,2021-12-09
사랑하는 우리팀 💕스폰서님 오셔서 함께 행복한 시간 보냈습니다.우리 광양에 있는 은아사장님이 빠져서아쉬움이 크지만다음주에 보니까 😊#맛난것도먹고 #교육도하고 #못나눈이야기도나누고 #행복해요 #뉴스키너의삶,2021-12-09
언니가고맙다고~^^저도 언니가 건강해 져서 좋습니다~^^50년 넘게 언니가이렇게 날씬해진 모습처음 봅니다~ ㅎㅎㅎ누군가를 돕는다는 것참 보람있고 행복합니다~~~💚💚💚,2021-12-09
크리스마스가 다가오면 너무 행복해요 베이킹 뭐할까라는 행복한 고민을 하고든요! 이번에 크리스마스 베이킹 한다고 또 돈 쓴건 안 비밀! #머핀 #수제머핀 #이쁜이머핀 #구겔호프 #초코구겔호프 #딸기초코구겔호프 #크리스마스 #행복해요 #오늘은뭐만들지 #행복한고민 #여수 #여수카페 #여수카페559,2021-12-09
나는 지금 행복합니다.나는 지금 감사합니다.나는 지금 희망입니다.나는 지금 축복입니다.🔎유튜브검색#채환감사희망만트라#채환호오포노포노명상🌿수업문의귓전명상센터 02-2666-5560#귓전명상 #명상 #희파 #채환 #명상멘토 #힐러 #마음공부 #meditation #healing #mindfulness #마음챙김 #일상 #쉬어가기 #치유 #공감글귀 #희망 #하루한번만들어라 #행복해요 #희망글,2021-12-09
지난번에 만났던 언니가 함께 산책 하자고 울 동네로 오기로 해서 나도 일찍 나왔는데 울 아파트에 크리스마스 준비를 하고 있넹?? 그래서 바로 사진찰깍!! 사진찍고나니 모찌와 언니가 와서 함께 산책하고 언니와 수다도 떨고ㅋㅋ 그리고 우유초코 간식도 사주고ㅠㅠ 담에 만나면 내가 사줘야징~ㅎㅎ 우유초코 덕분에 좋은 사람들도 만나고 너무너무 행복하당❤️❤️❤️...#반려견 #반려견일상 #반려견소통 #반려견산책 #강아지 #멍멍이 #포메라니안 #포메스타그램 #포메우유 #포메모찌 #말티푸 #말티푸그램 #말티푸초코 #강아지모임 #반려견모델 #애견모델 #애견인 #애견인소통환영 #애견인맞팔환영 #견주 #견주맞팔 #멍팔맞팔 #좋은언니와좋은시간❤️ #행복해요 @mozzi170914,2021-12-09
❤️레드데이❤️몰디브 왔으니 이런 색도 입어봐야쥬 ❤️#몰디브 #신혼여행 #신행 #매일매일이 #행복해요 ❤️,2021-12-09
다이어트 하면 젤로 먼저 느껴지는게잘 안붓는거! 배가 어딘가 모르게줄어든거 같은데?? 느낌이 들면서사진 찍을때 화면에서 예뻐보이고😉다들 비슷해요 ㅎㅎㅎ울 고객님 식사 챙겨 드시면서 했는데이렇게 레깅스가 내려간다구넘 행복해 하세요😆전신 다이어트 끝난 후에는 안맞던 옷들이다 맞게 될꺼에요❤️❤️——————————————👉다이어트 / 사업 문의는 DM주세요😀,2021-12-09
"🍂ꨄ︎ 𝐼𝑓 𝑦𝑜𝑢'𝑟𝑒 𝑔𝑜𝑖𝑛𝑔 𝑡𝑜 𝑠𝑡𝑎𝑟𝑡 𝑠𝑜𝑚𝑒𝑡ℎ𝑖𝑛𝑔, 𝑠𝑡𝑎𝑟𝑡 𝑖𝑛 𝑡ℎ𝑒 𝑏𝑒𝑠𝑡 𝑤𝑎𝑦 𝑏𝑒𝑐𝑎𝑢𝑠𝑒 𝑦𝑜𝑢 𝑑𝑜𝑛'𝑡 𝑘𝑛𝑜𝑤 ℎ𝑜𝑤 𝑖𝑡 𝑤𝑖𝑙𝑙 𝑒𝑛𝑑 ꨄ︎ 🍂#행복해요 ☺︎︎ #잘하다 ❤︎ #나는그들을사랑한다",2021-12-09
편의점사장님과의수다시간이 점점늘어감ㅋㅋㅋ이녀석은 자연스럽게 아이쇼핑을즐기심ㅋㅋㅋ삼각김밥으로브런치하니?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ#행복 #행복해 #행복한 #행복스타그램 #행복그램 #행복하자 #행복이 #행복행복 #행복하다 #행복해라 #행복해요 #행복하세요 #행복하다그램 #행복하자아프지말고 #기쁨 #기쁨이 #넘나좋은것 #즐거움 #기분좋아 #좋은날 #happy #happyhappy #happyday #happytimes #veryhappy,2021-12-09
"에버노크 이사 1주년 기념 🤍12월 23일이 에버노크 이사 1주년이예요!🥳🥳1년간 에버노크에 방문해주시고 관심가져주셔서 감사했어요. 😃 감사한 마음을 갖는것도 좋지만 그 마음을 표현하고 싶었어요. 그래서 예쁜 텀블러를 제작했습니다 ❤ 텀블러 소진시까지 진행해요.👉🏻 30,000원 이상(음료+타르트) 구매해주시는 분들께 증정해드려요.👉🏻배달의민족은 수수료때문에 1주년 이벤트에서 제외됩니다.앞으로도 저희 에버노크 많이 좋아해주세요 🙆🏻‍♀️저희들도 항상 맛있는 타르트, 디저트, 특색있는 음료 선보이겠습니다.코 시국에도 불구하고 저희는 정말 너~~~무 행복한 1년 이었어요!감사합니다 오늘도 잘 부탁드려요 😚😚#에버노크#1주년#신난다#행복해요#감사합니다#동두천에버노크",2021-12-09
##탱글탱글 미친 우동면존맛존맛 여긴 진짜 ㅜㅜㅜㅜㅜ 너무 마시쎠나나의 최애❤️❤️❤️나도  최애❤️❤️❤️선우언니도 최애❤️❤️❤️#구남동맛집 너무 좋은 #우동 집 또 갈게요 사장님 ><#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주맛집 #나나최애맛집 #선우언니최애맛집 #우동존맛집 #제주우동존맛집 #탱글탱글면빨 #걍다맛있어 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
##누가 언니야 대체..............하.................너무 동안인 나나.............친구냐는 소리 진짜 많이 듣는데제가 언니에요 하면 다 믿을 삘이야😭난 화장해신디 화장 안한 나나가 피부 더 좋다이너무 좋아❤️❤️❤️❤️ 부럽부럽 엽사 찍고 너무 잘 노는 우리 ㅋㅋㅋㅋ#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주맛집에서 #셀카놀이 #엽사놀이 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
##네츄럴와인 & 슈톨렌 하... 이렇게 맛있는 달콤한와인도 첨이고이렇게 맛있은 슈톨렌도 첨이야 아니 첫맛이 달콤한데 끝이 아주 깔끔하게 드라이해 ..... 질리지 않아 미쳤어...그냥 막 단게 아닌데 .. 달아 표현할 수가 엄네ㅠㅠㅠ 슈톨렌도 .. 어떻게 이렇게 깔끔하고 달콤하고 맛있고 식감도 좋고 ... 증말 미쳤다.............. 하 ㅠㅠㅠㅠㅠ완벽한 밤이었어요❤️❤️❤️ 깨알 예쁜 양말 출현!! 힛@common__bakery 여기 진짜 강추입니다..(엄청 귀여운 초롱초롱한 강아지 눈의 선우언니를 본날..ㅎㅎ)#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주선우언니집 #와인과슈톨렌 #미쳤다 #너무조으다 #완벽한조합 #증말최고야 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
##애월 분위기 좋은 술집 #우드나잇나나랑 기준오빠랑 같이 기분좋게^^*멜론&하몽은 정말 단짠단짠 ~안주로 굿굿!!! 너무너무 좋은 밤이었다~#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주맛집 #애월분위기좋은술집 #애월술집 #애월우드나잇 #우드나잇 #제주가볼만한곳 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사,2021-12-09
지난 내생일날꽃좋아하는마눌매년챙겨주는 꽃바구니#고마워요#행복해요#사랑해요,2021-12-09
"##제주도의 작은 싱가포르식당 #호커센터@_kimna_ 가 힘들게 한달전 예약해서락사를 먹으러 갓신디 이케 맛있어도 됨!?씨리얼새우, 락사, 칠리크랩, 갈릭라이스먹언 ㅋㅋㅋㅋㅋ 또 가구 시프다요오!!제가 함께 할 수 있게 어려운 예약 성공해주신 킴나나 슨생님 감사해요❤️#제주살이 #제주일상 #제주의하루 #jeju_life #jejudo #제주맛집 #제주가볼만한곳 #제주애월맛집 #호커센터 #제주호커센터 #제주싱가폴음식 #제주숨은명소 #제주향토음식 #도민맛집 #여행in제주 #여행중 #여행에미치다_제주 #행복해요 #하고싶은거다하는중 #좋아요 #좋아요환영 #좋아요반사",2021-12-09
#크리스마스 키트♡유치원 배송완료!!직배송은 처음이라^^*두근두근💕너무 예쁜 유치원에서 아트그리미i 미술키트로 크리스마스 행사 준비해 주셨어요🎄입구에서도 재잘재잘 아이들이 목소리가들려와서~너무 기분좋은 배송이였어요.아이들의 크리스마스 추억에아트그리미i가 함께하게 되어 너무 행복해용🎅☃️🎄😊감사합니다!!😍 😍 😍 #감사합니다❤#아이들의#웃음소리#직배송#크리스마스추억#행복해요#미술키트#이벤트행사#유치원#단체주문#아트그리미i,2021-12-09
남편분 아직 살아계신거죠?  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.......#영화 #감동 #부부 #결혼#현실부부 #잉꼬부부 #결혼전 #남편 #아내 #결혼후 #행복 #행복해요 #남자의로망 #여자의로망 #훈남 #훈녀 #예쁜부부 #시집 #장가 #예비신부 #연하남친 #연하여친 #매력덩어리 #연상연하 #설레여,2021-12-09
朝から夕方までプールいたしわくちゃのくたくた中も外も寒かった🤣..#pool#swimming#kids#happy#sea#love#daily#tflers#holiday#spa#relax#happy#수영장#맞팔#소통#일상 #헤엄치다#풍경#기뻐요#행복해요 #데일리 #바다#여행#아들#팔로미#좋아요#아들스타그램 #아들바보,2021-12-09
